                              ||              &&              <=            bool          string             num           float           while            else          record              id               [               ]              if              ==               !            proc               $               (           false               )               *               +            real               ,             int            call            char            true               {               ;               <              !=               }               =          return               >              >=               A               B               C               D              M1           Start               E              M2               F               G               H               I           Relop               L               N               P               S               T               X           Elist              PM
               0              --              --              --             s17              --              --              s8              s7              --             s12              s4              --              --              s9              --              --             s13              r3              --              --              --              --              --              --              --             s15             s14             s11              --              --              --              --              --              --              --              s2              --              --              --              --              --               5              --              --              --              --              --              --              --              --              --               1              --               6              16               3              10              --              --
               1              --              --              --              --              --              --              --              --              --              --              --            s318              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s396              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
               2              --              --              --              --            s129            s136              --              --              --              --            s131              --              --              --              --              --              --              --            s130              --              --              --              --            s134              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             394              --             133             132              --              --              --             128              --              --              --              --              --              --              --
               3              --              --              --              --              --              --              --              --              --              --            s391              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
               4              --              --              --              --              --              --              --              --              --              --              --            s272              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s388              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
               5              --              --              --             s17              --              --              s8              s7              --             s12              s4              --              --              s9              --              --             s13              r3              --              --              --              --              --              --              --             s15             s14             s11              --              --              --              --              --              --              --              s2              --              --              --              --              --               5              --              --              --              --              --              --              --              --              --               1              --             387              16               3              10              --              --
               6              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --          r0_acc              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
               7              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             r48              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --             381              --              --              --              --              --              --              --              --              --              --              --              --              --
               8              --              --              --              --              --              --              --              --              --              --             r15             r15              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
               9              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --            s338              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --              --
